 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
23,48.0,2.0,0.0,4.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,83333.33333,41666.66667,48.0,0.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,41666.66667,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,1024.0,-1.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
443,5154430.0,8.0,5.0,367.0,3710.0,210.0,0.0,45.875,79.37332675,2004.0,0.0,742.0,925.5355207,790.9700976,2.522102347,429535.8333,1448740.006,5029695.0,3.0,5154430.0,736347.1429,1893324.474,5029695.0,3.0,58951.0,14737.75,14993.80575,31892.0,193.0,0.0,0.0,0.0,0.0,264.0,168.0,1.552062983,0.970039364,0.0,2004.0,291.2142857,623.4482495,388687.7198,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,313.6153846,45.875,742.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,367.0,5.0,3710.0,29200.0,118.0,3.0,32.0,124732.0,0.0,124732.0,124732.0,5029695.0,0.0,5029695.0,5029695.0,BENIGN
53,274985.0,2.0,2.0,72.0,154.0,36.0,36.0,36.0,0.0,77.0,77.0,77.0,0.0,821.8630107,14.54624798,91661.66667,158760.9317,274983.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,80.0,64.0,7.273123989,7.273123989,36.0,77.0,52.4,22.45662486,504.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,65.5,36.0,77.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,72.0,2.0,154.0,-1.0,-1.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
1322,22.0,1.0,1.0,2.0,6.0,2.0,2.0,2.0,0.0,6.0,6.0,6.0,0.0,363636.3636,90909.09091,22.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,20.0,45454.54545,45454.54545,2.0,6.0,3.333333333,2.309401077,5.333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,6.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,6.0,1024.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan
443,7686703.0,2.0,0.0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.56113746,0.260189577,7686703.0,0.0,7686703.0,7686703.0,7686703.0,7686703.0,0.0,7686703.0,7686703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.260189577,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,256.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
80,18577517.0,8.0,4.0,349.0,11632.0,349.0,0.0,43.625,123.3901333,11632.0,0.0,2908.0,5816.0,644.9193399,0.645942081,1688865.182,4217155.439,13600000.0,4.0,13600000.0,1939302.571,5130231.045,13600000.0,4.0,18600000.0,6192490.667,6863061.455,13600000.0,719.0,0.0,0.0,0.0,0.0,264.0,136.0,0.430628054,0.215314027,0.0,11632.0,921.6153846,3219.515376,10400000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,998.4166667,43.625,2908.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,349.0,4.0,11632.0,29200.0,235.0,1.0,32.0,764.0,0.0,764.0,764.0,13600000.0,0.0,13600000.0,13600000.0,DoS GoldenEye
2800,25.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,240000.0,80000.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,40000.0,40000.0,0.0,6.0,2.0,3.464101615,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,6.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,29200.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan
53,30565.0,1.0,1.0,51.0,67.0,51.0,51.0,51.0,0.0,67.0,67.0,67.0,0.0,3860.624898,65.4343203,30565.0,0.0,30565.0,30565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,32.71716015,32.71716015,51.0,67.0,56.33333333,9.237604307,85.33333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,84.5,51.0,67.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,51.0,1.0,67.0,-1.0,-1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
53,131.0,2.0,2.0,68.0,100.0,34.0,34.0,34.0,0.0,50.0,50.0,50.0,0.0,1282442.748,30534.35115,43.66666667,70.43673284,125.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,40.0,40.0,15267.17557,15267.17557,34.0,50.0,40.4,8.76356092,76.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.5,34.0,50.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,2.0,100.0,-1.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
39846,85.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23529.41176,85.0,0.0,85.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,11764.70588,11764.70588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,122.0,351.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
