Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
23,48.0,2.0,0.0,27.764652955676013,0.0,2.0,2.0,21.306257077575594,0.0,0.0,0.0,0.0,0.0,83333.33333,41666.66667,48.0,0.0,48.0,48.0,48.0,48.0,0.0,48.0,115.42846564280508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,3529.144738286885,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,115.81222923898513,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,466.8656027220996,-1.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
443,5154430.0,8.0,5.0,256.58252775942213,3710.0,210.0,0.0,94.21973658231356,79.37332675,2004.0,0.0,742.0,925.5355207,790.9700976,2.522102347,429535.8333,1448740.006,5029695.0,3.0,5154430.0,736347.1429,1893324.474,5029695.0,29.537802827445613,58951.0,14737.75,14993.80575,31892.0,193.0,0.0,0.0,0.0,0.0,264.0,168.0,22.456543379164884,0.970039364,0.0,2004.0,291.2142857,623.4482495,388687.7198,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,313.6153846,45.875,742.0,271.2576136236334,0.0,0.0,0.0,0.0,0.0,0.0,8.0,367.0,5.0,3710.0,2492.674484310392,118.0,3.0,32.0,124732.0,0.0,124732.0,124732.0,5029695.0,0.0,5029695.0,5029695.0,0
53,32029.0,2.0,2.0,112.24039723479804,232.0,35.0,35.0,82.3390565170298,0.0,116.0,116.0,116.0,0.0,9428.95501,124.8868213,10676.33333,18449.53149,31980.0,1.0,1.0,1.0,0.0,1.0,17.747429055475692,48.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,64.0,64.0,136.79821204899358,62.44341066,35.0,116.0,67.4,44.36552716,1968.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,84.25,35.0,116.0,133.71216945305935,0.0,0.0,0.0,0.0,0.0,0.0,2.0,70.0,2.0,232.0,14.612002741526444,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1322,22.0,1.0,1.0,20.08953817318865,6.0,2.0,2.0,20.99631555562075,0.0,6.0,6.0,6.0,0.0,363636.3636,90909.09091,22.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,4.9006359279889615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,20.0,3686.076745345872,45454.54545,2.0,6.0,3.333333333,2.309401077,5.333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,6.0,82.02676368649605,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,6.0,466.8496281238795,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
443,7686703.0,2.0,0.0,46.50174714334416,0.0,6.0,6.0,34.823693841380454,0.0,0.0,0.0,0.0,0.0,1.56113746,0.260189577,7686703.0,0.0,7686703.0,7686703.0,7686703.0,7686703.0,0.0,7686703.0,46128.96884541394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,11.575497549864943,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,105.69818075979198,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,233.538424914898,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
80,18577294.0,9.0,5.0,340.4028872665246,11632.0,646.0,0.0,117.79141510423752,215.3333333,5840.0,0.0,2326.4,3185.599598,660.9143398,0.753608141,1429022.615,3902250.055,13600000.0,4.0,13600000.0,1697362.125,4799776.95,13600000.0,33.8877174212207,18600000.0,4644319.75,6403750.518,13600000.0,158.0,0.0,0.0,0.0,0.0,296.0,168.0,13.50208300601965,0.269145765,0.0,5840.0,818.5333333,2035.755875,4144301.981,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,877.0,71.77777778,2326.4,287.14671403019184,0.0,0.0,0.0,0.0,0.0,0.0,9.0,646.0,5.0,11632.0,2492.673952933754,237.0,1.0,32.0,759.0,0.0,759.0,759.0,13600000.0,0.0,13600000.0,13600000.0,3
2800,25.0,1.0,1.0,8.347021144519806,6.0,0.0,0.0,5.097088343524353,0.0,6.0,6.0,6.0,0.0,240000.0,80000.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,7.93967969727639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,3457.842422159767,40000.0,0.0,6.0,2.0,3.464101615,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,6.0,105.647563919408,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,2492.675388545146,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
53,30565.0,1.0,1.0,96.0144479236638,67.0,51.0,51.0,99.53667357072518,0.0,67.0,67.0,67.0,0.0,3860.624898,65.4343203,30565.0,0.0,30565.0,30565.0,0.0,0.0,0.0,0.0,7.298583183707712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,99.1435311616023,32.71716015,51.0,67.0,56.33333333,9.237604307,85.33333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,84.5,51.0,67.0,74.88983915505364,0.0,0.0,0.0,0.0,0.0,0.0,1.0,51.0,1.0,67.0,12.152482570136884,-1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
53,131.0,2.0,2.0,110.69727511721705,100.0,34.0,34.0,81.09200853839968,0.0,50.0,50.0,50.0,0.0,1282442.748,30534.35115,43.66666667,70.43673284,125.0,3.0,3.0,3.0,0.0,3.0,29.379861931392767,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,40.0,40.0,2136.2688052531785,15267.17557,34.0,50.0,40.4,8.76356092,76.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.5,34.0,50.0,105.84434301477968,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,2.0,100.0,12.55541584926964,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
53,30894.0,2.0,2.0,107.34986712112313,180.0,32.0,32.0,78.92809409337184,0.0,90.0,90.0,90.0,0.0,7897.973717,129.474979,10298.0,17833.19514,30890.0,1.0,3.0,3.0,0.0,3.0,29.526448374938035,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,80.0,64.0,139.2423934379122,64.73748948,32.0,90.0,55.2,31.76790834,1009.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69.0,32.0,90.0,149.44454694367636,0.0,0.0,0.0,0.0,0.0,0.0,2.0,64.0,2.0,180.0,12.701126170712325,-1.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
