Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
23,63.77505394390752,15.650478740708763,5.878563583365357,20.598161596255053,0.0,2.0,2.0,16.290456128647225,6.55941910769229,0.0,0.0,0.0,0.0,1091.0291475580686,923.658633814734,48.0,0.0,48.0,48.0,48.06233289271105,67.62505156972384,0.0,62.04243541526749,65.63592836112076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,740.8364054628302,0.0,2.0,2.0,18.1790524829062,0.0,5.877993671365025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,60.27141048562012,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,197.66823223248167,-1.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
443,6551.065401342831,26.49839682210616,26.89259180872165,121.27472986499885,3710.0,210.0,0.0,53.301791385112594,78.77340422196481,2004.0,0.0,742.0,925.5355207,169.35894122854438,19.131524747138087,429535.8333,1448740.006,5029695.0,3.0,4933.735427092152,3191.0488115741987,1893324.474,6315.202686977893,22.292299309588262,58951.0,14737.75,14993.80575,31892.0,193.0,0.0,0.0,0.0,0.0,264.0,168.0,12.86284024560234,0.970039364,0.0,2004.0,128.50221023338747,623.4482495,2117.7583930701603,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,313.6153846,45.875,742.0,119.09650360820888,0.0,0.0,0.0,0.0,0.0,0.0,8.0,367.0,5.0,3710.0,755.0070680543855,118.0,3.0,32.0,124732.0,0.0,124732.0,124732.0,5029695.0,0.0,5029695.0,5029695.0,0
53,858.336793913205,15.687104712427178,19.16982918344712,62.51861408968863,232.0,35.0,35.0,47.86837147825932,7.674593536388601,116.0,116.0,116.0,0.0,456.3521115522684,90.45743561272305,10676.33333,18449.53149,31980.0,1.0,10.738381112825138,15.12279928686059,0.0,12.999337914585698,14.846319236209924,48.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,64.0,64.0,55.02762871148487,62.44341066,35.0,116.0,71.63935056705901,44.36552716,255.67148857417385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,84.25,35.0,116.0,67.60836426080989,0.0,0.0,0.0,0.0,0.0,0.0,2.0,70.0,2.0,232.0,11.682140046792217,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1322,46.73380294642735,12.245334258062702,14.770755410776438,15.5111581488564,6.0,2.0,2.0,15.785667968367036,6.681554123643062,6.0,6.0,6.0,0.0,1966.8697878157864,1261.9401772429412,22.0,0.0,22.0,22.0,6.32140064503821,5.498398001980306,0.0,5.900532411181161,6.248287915546214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,20.0,767.0752743209571,45454.54545,2.0,6.0,21.55143122799036,2.309401077,24.48942551316974,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,6.0,45.78378743144776,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,6.0,197.6741149434472,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
443,7686.625351197989,15.95086604091626,6.492893374500175,31.20695404858402,0.0,6.0,6.0,24.02430198509012,7.011073614040502,0.0,0.0,0.0,0.0,14.326924159219242,10.261090112678454,7686703.0,0.0,7686703.0,7686703.0,5788.947744794596,8154.482484730786,0.0,7482.843575364635,7907.092134063011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,8.10296914619943,0.0,6.0,6.0,27.58320852973608,0.0,6.13092642725046,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,56.05278288019041,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,113.55421043516328,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
80,10940.38621175701,27.768581017020864,27.061683354968643,152.01757298353274,11632.0,646.0,0.0,63.63488112439002,117.33082831213687,5840.0,0.0,2326.4,3185.599598,157.63720796885897,12.681718443727886,1429022.615,3902250.055,13600000.0,4.0,7273.093162815328,4456.666871149167,4799776.95,9401.262728625154,24.423759370841225,18600000.0,4644319.75,6403750.518,13600000.0,158.0,0.0,0.0,0.0,0.0,296.0,168.0,9.597173287030978,0.269145765,0.0,5840.0,194.26478188925543,2035.755875,5457.78708673722,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,877.0,71.77777778,2326.4,124.66973862402966,0.0,0.0,0.0,0.0,0.0,0.0,9.0,646.0,5.0,11632.0,755.0066403541534,237.0,1.0,32.0,759.0,0.0,759.0,759.0,13600000.0,0.0,13600000.0,13600000.0,3
2800,49.23639337299759,12.046035489522176,14.18483054063772,6.044728287540493,6.0,0.0,0.0,6.005083933544512,6.621921168454705,6.0,6.0,6.0,0.0,1665.6867893164283,1199.0351256928873,25.0,0.0,25.0,25.0,5.302516539953856,6.633338182085663,0.0,7.887641141887776,6.836880199745043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,728.8382084900635,40000.0,0.0,6.0,18.01821215658542,3.464101615,33.38425320477091,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,6.0,56.09106400534278,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,755.0066498068248,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
53,842.4219054862656,13.079413241035152,14.68558258782514,55.14914380855735,67.0,51.0,51.0,55.53499438023616,5.7247187903294,67.0,67.0,67.0,0.0,319.29053093071207,69.86667952278576,30565.0,0.0,30565.0,30565.0,7.347047327503751,6.233297965356901,0.0,6.952096224541858,7.050458699452194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,42.56164554864984,32.71716015,51.0,67.0,66.68060902241773,9.237604307,72.92757494433003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,84.5,51.0,67.0,42.58683143719853,0.0,0.0,0.0,0.0,0.0,0.0,1.0,51.0,1.0,67.0,11.151891194068964,-1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
53,95.18597805205876,15.863206367988052,19.056954647544696,61.84170917388882,100.0,34.0,34.0,47.207765461889565,6.75162531696399,50.0,50.0,50.0,0.0,3256.2954729523053,815.6645357531331,43.66666667,70.43673284,125.0,3.0,16.853632867648574,22.51698383611124,0.0,20.835543454771912,22.02418852365998,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,40.0,40.0,495.80740964302834,15267.17557,34.0,50.0,58.42799349968154,8.76356092,69.94678667028377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.5,34.0,50.0,56.02007988953604,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,2.0,100.0,11.177209456352628,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
53,846.037697372605,16.102259034121083,18.920200218657776,60.33426729216495,180.0,32.0,32.0,46.19738455029315,6.800566773902308,90.0,90.0,90.0,0.0,425.1277492806675,91.76310774733992,10298.0,17833.19514,30890.0,1.0,16.5533487715761,22.809484071850854,0.0,20.828682994457097,22.15331792731709,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,80.0,64.0,55.890141402509,64.73748948,32.0,90.0,66.16013884478662,31.76790834,195.72611601246803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69.0,32.0,90.0,73.95403701992208,0.0,0.0,0.0,0.0,0.0,0.0,2.0,64.0,2.0,180.0,11.670517245883143,-1.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
443,1522.5200294356664,28.861620239271605,26.84400698337677,169.03299120750046,1199.0,597.0,0.0,67.87470126112592,110.70306718834512,1061.0,0.0,239.8,462.9375768,552.4917354242688,86.52268587797208,9586.928571,14957.24932,36351.0,3.0,1146.639446787402,670.6981785643977,20651.36997,1013.298919829764,22.055178931056453,90659.0,22664.75,17577.57011,36791.0,317.0,0.0,0.0,0.0,0.0,332.0,168.0,59.08377081469535,37.25310505,0.0,1061.0,92.39609629536336,290.658326,1150.1187464115117,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,136.0666667,84.2,239.8,130.53426248775756,0.0,0.0,0.0,0.0,0.0,0.0,10.0,842.0,5.0,1199.0,1043.2453647346088,350.0,5.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9594,71.50859214835218,12.443892276526975,14.894035790579531,15.44710742585146,6.0,2.0,2.0,16.17814358512066,5.77984877135063,6.0,6.0,6.0,0.0,1283.1363861651057,823.2592518821934,64.0,0.0,64.0,64.0,7.056568565735823,6.014474829863585,0.0,6.148274670392417,4.635270947891632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,20.0,500.4238110944192,15625.0,2.0,6.0,21.80255186184513,2.309401077,24.35522461446116,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,6.0,45.619979728359326,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,6.0,197.67441426914496,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
53,1177.9370406599205,15.820453082312932,19.04009856132841,70.97487220028253,612.0,48.0,48.0,54.18314358537632,7.6075124916091585,306.0,306.0,306.0,0.0,467.56407925685215,65.96470837270823,23555.0,40792.3946,70658.0,3.0,16.625909196619215,22.76516251006,0.0,20.730070211320395,21.786279167022037,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,64.0,48.0,40.18401207411057,28.30255431,48.0,306.0,98.8862883446596,141.3124198,645.9241198087193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,189.0,48.0,306.0,67.63501635433978,0.0,0.0,0.0,0.0,0.0,0.0,2.0,96.0,2.0,612.0,11.85575403037961,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
80,21385.82929313777,23.644067317629496,30.734696046400384,127.27772736347852,11595.0,396.0,0.0,62.720515928223385,104.22922789423316,7251.0,0.0,1656.428571,2703.523371,79.93463306303929,8.608767788800593,8270558.083,28600000.0,99200000.0,0.0,16103.054135966167,11906.015327881283,44400000.0,20814.946230747275,5.820214360342892,99200000.0,16500000.0,40500000.0,99200000.0,3.0,0.0,0.0,0.0,0.0,164.0,232.0,5.5453956047513895,0.070531315,0.0,7251.0,197.97106641149668,2017.348533,5418.271693016344,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,924.2307692,69.0,1656.428571,98.47203551179648,0.0,0.0,0.0,0.0,0.0,0.0,6.0,414.0,7.0,11595.0,5.797445510656217,235.0,3.0,20.0,13982.0,0.0,13982.0,13982.0,99200000.0,0.0,99200000.0,99200000.0,4
33276,21.297585007151373,15.882563827468402,5.563434977699425,45.22536414431108,0.0,31.0,0.0,34.60365718678472,47.191107703247546,0.0,0.0,0.0,0.0,7492.788338740018,2800.0072615773693,3.0,0.0,3.0,3.0,16.522147158201836,22.47483068781969,0.0,20.52262032068009,22.06696887094154,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,64.0,0.0,2245.793893178879,0.0,0.0,31.0,44.741703960036126,17.89785834,123.68590013257108,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31.0,15.5,0.0,67.65884174544087,0.0,0.0,0.0,0.0,0.0,0.0,2.0,31.0,0.0,0.0,193.5893911963608,-1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
80,19849.0032607596,27.984748329645715,24.54869870387803,59.68750924489476,11607.0,20.0,0.0,25.11643242219457,26.882861088122787,11595.0,0.0,2901.75,5795.50069,85.19033877751815,8.29292761357551,6863827.083,21400000.0,74700000.0,1.0,14819.63818962595,9095.548854569748,26200000.0,18582.27424467373,14.959492827050422,1757596.0,585865.3333,1014095.609,1756842.0,5.0,0.0,0.0,0.0,0.0,192.0,92.0,6.871465786790887,0.048563772,0.0,11595.0,195.71713271559048,3097.25274,7635.145946044356,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,898.0769231,6.888888889,2901.75,104.89079588198476,0.0,0.0,0.0,0.0,0.0,0.0,9.0,62.0,4.0,11607.0,113.55625404878532,229.0,7.0,20.0,2994.0,0.0,2994.0,2994.0,40300000.0,48600000.0,74700000.0,5929887.0,2
53,1809.6599425271247,12.63313512361666,14.909947668541085,53.829516628415824,142.0,48.0,48.0,54.22759607219693,5.505733654651642,142.0,142.0,142.0,0.0,179.83853877846292,32.74165390101664,206725.0,0.0,206725.0,206725.0,5.77586690758017,1.561932139328607,0.0,7.409285667093258,8.033645724687995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,32.0,20.48197782961989,4.837344298,48.0,142.0,76.41589324624024,54.2709253,300.39761803181096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,119.0,48.0,142.0,42.55725322548477,0.0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,1.0,142.0,12.016196427232524,-1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
80,21466.02029917452,23.654282596865112,28.88388085451965,123.73543699479272,11595.0,368.0,0.0,61.00658860037451,101.23939347235236,10136.0,0.0,1932.5,4060.245892,79.60179701101436,8.59684078876016,9107244.091,30200000.0,100000000.0,4.0,16154.874337408148,11953.975414794202,44700000.0,20881.92945888917,24.56350201815059,100000000.0,20000000.0,44700000.0,100000000.0,83.0,0.0,0.0,0.0,0.0,164.0,200.0,6.817283087598231,0.059892382,0.0,10136.0,203.74067519364812,2797.587546,7038.222248669164,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,998.9166667,64.33333333,1932.5,98.47227941287144,0.0,0.0,0.0,0.0,0.0,0.0,6.0,386.0,6.0,11595.0,4.732678524295812,235.0,3.0,20.0,13984.0,0.0,13984.0,13984.0,100000000.0,0.0,100000000.0,100000000.0,4
80,21252.165440463243,26.47999771404521,26.80071385265779,114.10555723339252,11595.0,309.0,0.0,50.1869406408901,89.38397016239622,10147.0,0.0,2319.0,4420.67608,80.21748797220533,8.183296134961903,8141933.417,28200000.0,97700000.0,2.0,16005.211206219605,10364.576842615304,36900000.0,20688.473623764305,18.74075869782257,3965.0,991.25,1412.133699,3106.0,195.0,0.0,0.0,0.0,0.0,252.0,168.0,6.489729990596755,0.051175396,0.0,10147.0,197.28455179523132,2703.58484,6848.382818858741,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,916.1538462,39.375,2319.0,116.92914625146076,0.0,0.0,0.0,0.0,0.0,0.0,8.0,315.0,5.0,11595.0,116.67624055194668,235.0,2.0,20.0,1976.0,0.0,1976.0,1976.0,97700000.0,0.0,97700000.0,97700000.0,4
53,1021.6687654211402,15.786113080913902,18.734685479642145,67.27435879587573,204.0,42.0,42.0,51.42216466939213,4.279984993060414,102.0,102.0,102.0,0.0,376.1865454120794,76.03715325345101,16502.66667,28574.79689,49498.0,4.0,21.461038161207554,29.730851417605443,0.0,27.3647589067828,28.821637909546745,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,64.0,64.0,46.27619734132934,40.39751151,42.0,102.0,71.01840701435347,32.86335345,201.10780498590003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,82.5,42.0,102.0,67.63175955088988,0.0,0.0,0.0,0.0,0.0,0.0,2.0,84.0,2.0,204.0,11.522224349423384,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
443,21.599068699956927,15.55694236433354,6.817831766435866,45.35483832573368,0.0,31.0,0.0,34.685728714666354,47.17006152307074,0.0,0.0,0.0,0.0,7492.788367874204,2800.0071410552973,3.0,0.0,3.0,3.0,16.352283853452914,22.71370302622809,0.0,20.82407906345057,21.9763218663663,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,64.0,0.0,2245.794069317674,0.0,0.0,31.0,44.7093618010188,17.89785834,123.68671033602196,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31.0,15.5,0.0,67.63538493072441,0.0,0.0,0.0,0.0,0.0,0.0,2.0,31.0,0.0,0.0,124.1514633877911,-1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
443,6906.545962744386,27.658862562398436,28.88680817715391,122.18677817899794,4685.0,187.0,0.0,51.16604394200197,73.8003473757287,1501.0,0.0,780.8333333,764.8002136,175.12383568772827,19.53197248370185,420170.0,1452928.393,5465524.0,8.0,5201.454688921912,3189.228495175504,1912455.563,6528.649428746585,65.61120067293837,257603.0,51520.6,64694.1825,122774.0,50.0,0.0,0.0,0.0,0.0,200.0,128.0,13.144246479137744,1.019995308,0.0,1501.0,132.79695116179744,579.3786578,1997.1290149076417,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,337.2666667,41.55555556,780.8333333,106.62339220107084,0.0,0.0,0.0,0.0,0.0,0.0,9.0,374.0,6.0,4685.0,755.0062107165156,123.0,8.0,20.0,416808.0,0.0,416808.0,416808.0,5465524.0,0.0,5465524.0,5465524.0,0
53,853.5040687197061,15.961814345513604,18.86685356511626,61.8519901252082,158.0,34.0,34.0,47.32675125371713,6.073466408112404,79.0,79.0,79.0,0.0,408.68631493268975,90.96573191236048,10526.66667,18191.16682,31532.0,1.0,47.64231802172388,67.04406735666763,0.0,61.49171426707716,64.9784727403118,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,80.0,64.0,55.35113344073314,63.33122229,34.0,79.0,64.60644572424887,24.64751509,159.76569969308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,65.0,34.0,79.0,73.93683597756184,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,2.0,158.0,11.323491431272885,-1.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
